时间,开盘,最高,最低,收盘,涨幅,振幅,总手,金额,换手%,成交次数
"2022-02-28,一",36.35,36.35,36.35,36.35,94.80%,0.00%,"646,400","23,496,640",0.044,394
"2022-02-28,一",36.5,36.65,36.27,36.41,0.17%,1.05%,"1,011,986","36,827,136",0.069,1800
"2022-02-28,一",36.4,36.53,36.08,36.53,0.33%,1.24%,"773,400","28,047,114",0.052,1017
"2022-02-28,一",36.51,36.87,36.44,36.82,0.79%,1.18%,"671,900","24,624,779",0.046,1163
"2022-02-28,一",36.8,36.8,36.7,36.8,-0.05%,0.27%,"567,800","20,874,670",0.039,977
"2022-02-28,一",36.82,36.86,36.7,36.73,-0.19%,0.43%,"773,000","28,443,984",0.052,1236
"2022-02-28,一",36.68,36.68,36.5,36.55,-0.49%,0.49%,"615,500","22,537,518",0.042,842
"2022-02-28,一",36.6,36.92,36.6,36.87,0.88%,0.88%,"610,100","22,420,568",0.041,1017
"2022-02-28,一",36.9,36.96,36.75,36.79,-0.22%,0.57%,"620,625","22,900,639",0.042,1055
"2022-02-28,一",36.7,36.89,36.66,36.88,0.24%,0.63%,"613,000","22,557,649",0.042,995
"2022-02-28,一",36.85,36.85,36.6,36.65,-0.62%,0.68%,"450,900","16,556,195",0.031,837
"2022-02-28,一",36.69,36.77,36.63,36.71,0.16%,0.38%,"420,200","15,424,805",0.028,725
"2022-02-28,一",36.71,36.84,36.64,36.66,-0.14%,0.54%,"435,600","15,994,027",0.03,684
"2022-02-28,一",36.7,36.8,36.64,36.79,0.35%,0.44%,"485,700","17,840,396",0.033,716
"2022-02-28,一",36.8,36.86,36.78,36.86,0.19%,0.22%,"610,100","22,468,197",0.041,910
"2022-02-28,一",36.86,36.88,36.67,36.68,-0.49%,0.57%,"491,400","18,063,818",0.033,707
"2022-02-28,一",36.7,36.7,36.5,36.5,-0.49%,0.55%,"561,200","20,521,091",0.038,827
"2022-02-28,一",36.5,36.6,36.5,36.59,0.25%,0.27%,"410,559","15,005,661",0.028,632
"2022-02-28,一",36.59,36.63,36.53,36.63,0.11%,0.27%,"291,500","10,659,765",0.02,551
"2022-02-28,一",36.68,36.83,36.67,36.83,0.55%,0.44%,"360,000","13,217,131",0.024,840
"2022-02-28,一",36.8,36.83,36.78,36.78,-0.14%,0.14%,"180,900","6,658,157",0.012,392
"2022-02-28,一",36.77,36.8,36.72,36.72,-0.16%,0.22%,"211,400","7,769,619",0.014,352
"2022-02-28,一",36.77,36.88,36.73,36.81,0.25%,0.41%,"372,600","13,719,637",0.025,449
"2022-02-28,一",36.78,36.78,36.58,36.6,-0.57%,0.54%,"267,000","9,801,872",0.018,468
